ano;id_municipio;id_municipio_nome;sigla_uf;sigla_uf_nome;populacao_atentida_esgoto;populacao_urbana;extensao_rede_esgoto;quantidade_localidade_esgoto;quantidade_economia_ativa_esgoto;volume_agua_tratada_importado;volume_esgoto_coletado;volume_esgoto_tratado;volume_esgoto_faturado;receita_operacional_direta_esgoto;despesa_servico_terceiro;despesa_servico_outro;despesas_juros_divida_excecao;investimento_recurso_proprio_prestador;investimento_recurso_nao_oneroso_prestador;investimento_recurso_nao_oneroso_estado;investimento_total_estado;natureza_juridica
2022;1400282;Iracema;RR;Roraima;5158;;9.0;0;2240;0.0;120.0;0.0;0.0;0.0;207759.08;0.0;0.0;0.0;0.0;0.0;0.0;
2020;1200138;Bujari;AC;Acre;152;4543;1.0;0;38;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Autarquia | Administração pública direta
2016;1200385;PlÃ¡cido de Castro;AC;Acre;11020;11062;1.0;0;;0.0;2000.0;1000.0;0.0;0.0;1000.0;471131.33;0.0;0.0;0.0;515420.24;556667.45;Autarquia | Administração pública direta
2014;1200385;PlÃ¡cido de Castro;AC;Acre;11020;10847;1.0;0;;0.0;2000.0;1000.0;0.0;0.0;349627.96;169730.11;0.0;3409.09;15750.0;75887.41;1448393.96;Autarquia | Administração pública direta
2022;1303536;Presidente Figueiredo;AM;Amazonas;5000;;19.57;0;1300;0.0;620.0;0.0;0.0;10000.0;400000.0;19900.0;0.0;0.0;0.0;0.0;0.0;
2020;1400472;RorainÃ³polis;RR;Roraima;1010;13532;20.0;0;;0.0;30.0;0.0;0.0;0.0;55206.11;0.0;0.0;;0.0;0.0;0.0;
2014;1200138;Bujari;AC;Acre;120;3999;1.0;0;30;0.0;20.0;0.0;0.0;0.0;19028.16;27440.19;0.0;3409.09;15750.0;0.0;172506.55;Autarquia | Administração pública direta
2005;1400100;Boa Vista;RR;Roraima;48008;237989;207.1;0;14009;0.0;4060.35;4060.35;4060.35;5577240.04;1165163.06;;0.0;1000883.0;0.0;;;
2014;1400209;CaracaraÃ­;RR;Roraima;10808;11849;54.09;0;;0.0;1035.78;1035.78;0.0;0.0;41740.52;;0.0;;0.0;0.0;0.0;
2004;1200401;Rio Branco;AC;Acre;68391;255829;132.0;0;15198;0.0;4800.0;0.0;2466.6;3995358.1;1770501.31;0.0;0.0;17045.65;1386164.33;;;Autarquia | Administração pública direta
2014;1200336;MÃ¢ncio Lima;AC;Acre;300;9664;0.7;0;550;0.0;20.0;0.0;0.0;100000.0;76818.52;9881.04;1.0;17249.32;15750.0;0.0;0.0;Autarquia | Administração pública direta | Administração pública direta
2012;1200385;PlÃ¡cido de Castro;AC;Acre;13000;10610;6.0;0;;0.0;1000.0;1000.0;0.0;0.0;901489.5;0.0;0.0;0.0;0.0;0.0;45034.43;Autarquia | Administração pública direta
2003;1200401;Rio Branco;AC;Acre;59873;245521;118.6;0;14747;0.0;4333.8;0.0;2350.2;3069030.4;1399055.56;0.0;0.0;0.0;1314236.0;;;Autarquia | Administração pública direta
2022;1302900;MauÃ©s;AM;Amazonas;12800;;30.0;0;3500;0.0;800.0;0.0;0.0;0.0;806079.6;0.0;0.0;136960.0;136960.0;2500000.0;7500000.0;
2019;1400159;Bonfim;RR;Roraima;3160;4208;9.0;0;;0.0;86.0;56.0;0.0;430923.27;67066.32;0.0;0.0;0.0;0.0;1148990.73;1148990.73;
2014;1302603;Manaus;AM;Amazonas;199937;2010062;479.05;0;56780;43029.0;27217.1;27217.1;8394.6;40301091.57;26851004.09;9186255.26;16671389.74;37636412.04;0.0;0.0;0.0;
2022;1400100;Boa Vista;RR;Roraima;383731;;979.43;0;100130;0.0;21424.56;21424.56;14437.28;39197107.62;20445117.35;36484088.43;0.0;9796740.52;12344950.32;0.0;0.0;
2018;1302603;Manaus;AM;Amazonas;266737;2134570;550.51;0;74159;61039.0;17227.5;17227.5;9993.73;54511137.92;40804316.1;31691420.28;3465773.22;22053103.86;0.0;0.0;0.0;
2016;1200401;Rio Branco;AC;Acre;82966;346208;533.47;0;25564;0.0;4354.32;4354.32;4354.32;7342749.81;1788829.25;8915580.97;0.0;48710.0;;5126165.13;13588276.51;Autarquia | Administração pública direta
2015;1400100;Boa Vista;RR;Roraima;181752;313366;712.26;0;50373;0.0;13787.74;13645.17;6410.55;15072111.62;6174565.38;21616475.29;0.0;3960197.22;0.0;29628863.03;31763585.75;
2011;1302603;Manaus;AM;Amazonas;491849;1823137;420.45;0;43553;0.0;21517.0;21517.0;7252.0;21428598.53;25932712.32;7428489.63;14548787.36;36420215.17;0.0;0.0;0.0;
2007;1303536;Presidente Figueiredo;AM;Amazonas;1420;11580;22.12;0;395;0.0;94.78;62.78;0.0;0.0;125810.81;0.0;0.0;236106.08;0.0;;;
2005;1200401;Rio Branco;AC;Acre;58667;273400;132.0;0;16612;0.0;4800.0;1892.0;2635.4;3057957.06;1462857.14;0.0;0.0;97691.99;1846047.48;;;Autarquia | Administração pública direta
2020;1400100;Boa Vista;RR;Roraima;369304;410037;979.43;0;90414;0.0;17659.1;17659.1;11725.42;32056294.17;7263536.88;44953976.32;0.0;3283814.0;0.0;22965287.23;33302551.84;
2021;1400308;MucajaÃ­;RR;Roraima;10784;11164;17.8;0;;0.0;832.0;0.0;0.0;0.0;253751.93;0.0;0.0;308107.44;0.0;0.0;0.0;
2014;1400233;Caroebe;RR;Roraima;2000;3686;5.0;1;900;0.0;200.0;0.0;0.0;0.0;45449.25;15000.0;1500.0;;0.0;0.0;130000.0;
2017;1400100;Boa Vista;RR;Roraima;207625;324413;882.83;0;60445;0.0;14776.0;14776.0;7248.72;20968781.2;5660994.23;17581830.11;30182940.07;3486268.58;0.0;57964361.46;61464013.25;
2016;1200138;Bujari;AC;Acre;120;4143;0.5;0;40;0.0;20.0;0.0;0.0;0.0;0.0;335733.18;0.0;0.0;0.0;0.0;49046.24;Autarquia | Administração pública direta
2013;1200328;JordÃ£o;AC;Acre;3500;2469;2.0;0;;0.0;500.0;0.0;0.0;1500.0;139628.06;47636.34;500.0;0.0;0.0;;66510.71;Autarquia | Administração pública direta
2008;1302603;Manaus;AM;Amazonas;191465;1698875;396.48;0;33820;0.0;20586.0;16449.0;6324.0;20166933.0;15949607.0;19410803.0;17558857.0;27290000.0;0.0;;;
2021;1301001;Carauari;AM;Amazonas;6000;22000;20.0;0;3250;0.0;180.0;0.0;0.0;0.0;98829.69;26392.0;0.0;16220.52;0.0;0.0;0.0;Sociedade de economia mista com administração pública
2012;1200104;BrasilÃ©ia;AC;Acre;5000;14832;12.5;0;1301;0.0;55.0;55.0;0.0;0.0;788628.31;0.0;0.0;909.01;0.0;1063727.52;1440651.32;Autarquia | Administração pública direta
2012;1400100;Boa Vista;RR;Roraima;116062;290155;488.51;0;35644;0.0;8258.14;8258.14;3794.53;8460276.59;3275958.45;5112167.53;0.0;4740573.28;0.0;17656863.0;69201116.79;
2008;1200401;Rio Branco;AC;Acre;57308;279482;120.27;0;17557;0.0;2931.61;204.0;2931.61;4247484.88;2781722.54;168157.88;0.0;0.0;1372762.8;;;Autarquia | Administração pública direta
2007;1302603;Manaus;AM;Amazonas;186471;1636837;367.44;0;34483;0.0;20512.0;9308.0;5766.0;15865286.0;13458830.0;5945349.0;1941419.0;44302212.0;0.0;;;
2019;1200401;Rio Branco;AC;Acre;88199;373994;548.34;0;27055;0.0;4472.62;4472.62;4472.62;8965444.0;2142614.68;6553807.74;0.0;45226.85;0.0;2024026.95;6512236.12;Autarquia | Administração pública direta
2015;1200401;Rio Branco;AC;Acre;83548;340233;533.47;0;25680;0.0;4083.41;4083.41;4083.41;7000045.48;3469217.84;0.0;0.0;0.0;;6087922.85;9991193.22;Autarquia | Administração pública direta
2015;1304237;Tonantins;AM;Amazonas;7850;9628;40.0;0;8426;0.0;560.0;0.0;0.0;0.0;25326.0;6229.0;4526.0;;;0.0;0.0;
2008;1303536;Presidente Figueiredo;AM;Amazonas;1420;12110;22.12;0;395;0.0;94.78;0.0;0.0;0.0;147204.24;0.0;0.0;0.0;0.0;;;
2018;1200104;BrasilÃ©ia;AC;Acre;5800;17222;12.75;0;1340;0.0;78.0;77.0;0.0;0.0;0.0;426289.84;0.0;0.0;0.0;139547.74;139547.74;Autarquia | Administração pública direta
2020;1301001;Carauari;AM;Amazonas;6000;21838;20.0;0;3000;0.0;113.0;0.0;0.0;1000.0;156047.13;2254109.09;0.0;35811.8;0.0;0.0;0.0;Sociedade de economia mista com administração pública
2008;1400100;Boa Vista;RR;Roraima;50105;257069;207.2;0;14422;0.0;3992.07;3992.07;3992.07;6396163.0;2036315.72;;0.0;0.0;3086824.49;;;
2014;1400100;Boa Vista;RR;Roraima;125471;307685;644.05;0;34428;0.0;6856.27;6856.27;6174.33;11601663.38;6553394.67;39415914.33;0.0;5804514.84;0.0;26484397.12;45901984.3;
